ID,Pop,A5A12,,B4F08,,PtTx3107,,Pest2669,,PtTx3116,,pEST1489,,PHAF2,,ITPH4516,,PHAF01,,,,,,,,,
1-01,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,157,-1,-1,-1,-1,,,,,,,,
1-02,1,237,237,-1,-1,-1,-1,144,146,-1,-1,-1,-1,-1,-1,-1,-1,207,209,,,,,,,,
1-03,1,237,237,179,195,161,161,144,146,113,119,-1,-1,157,159,140,154,-1,-1,,,,,,,,
1-04,1,237,247,179,195,-1,-1,144,144,113,113,-1,-1,157,159,142,166,207,211,,,,,,,,
1-05,1,-1,-1,179,195,-1,-1,-1,-1,113,113,-1,-1,157,157,158,168,209,209,,,,,,,,
1-06,1,237,247,179,195,161,161,144,146,113,113,-1,-1,157,157,140,140,209,209,,,,,,,,
DA,1,237,237,179,195,-1,-1,144,144,113,113,-1,-1,157,157,158,160,207,209,,,,,,,,
1-08,1,-1,-1,179,195,-1,-1,144,146,113,113,-1,-1,157,159,-1,-1,209,209,,,,,,,,
4-02,2,237,237,179,195,161,161,146,148,-1,-1,201,201,157,157,158,176,207,209,,,,,,,,
4-03,2,237,247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,157,158,158,-1,-1,,,,,,,,
4-04,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,157,-1,-1,207,209,,,,,,,,
4-05,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,157,-1,-1,-1,-1,,,,,,,,
4-06,2,-1,-1,179,195,-1,-1,144,146,-1,-1,-1,-1,157,159,140,176,207,209,,,,,,,,
4-07,2,237,237,-1,-1,166,166,144,148,113,113,-1,-1,157,157,140,160,207,209,,,,,,,,
4-08,2,237,247,179,197,161,166,144,144,113,119,-1,-1,157,157,140,164,207,211,,,,,,,,
4-09,2,-1,-1,195,197,161,161,144,144,113,113,-1,-1,157,157,140,158,209,209,,,,,,,,
4-10,2,237,237,-1,-1,161,161,-1,-1,113,113,-1,-1,157,157,154,176,209,209,,,,,,,,
6-01,3,237,237,179,195,161,161,146,146,113,113,201,201,157,159,-1,-1,207,209,,,,,,,,
6-02,3,-1,-1,179,195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,158,-1,-1,,,,,,,,
6-03,3,237,247,-1,-1,161,161,144,144,113,113,201,201,157,159,158,168,207,211,,,,,,,,
6-04,3,237,247,195,197,161,161,144,148,113,113,197,201,157,157,140,164,207,207,,,,,,,,
6-05,3,-1,-1,-1,-1,-1,-1,144,146,-1,-1,-1,-1,157,159,-1,-1,-1,-1,,,,,,,,
6-06,3,-1,-1,179,195,166,166,-1,-1,113,113,197,201,157,157,142,158,209,209,,,,,,,,
6-07,3,237,237,179,195,161,161,144,146,113,113,201,201,157,159,158,168,209,209,,,,,,,,
6-08,3,237,237,195,197,161,166,144,148,113,113,-1,-1,157,159,-1,-1,207,209,,,,,,,,
6-09,3,237,237,179,195,161,166,148,148,113,113,201,201,157,157,158,158,207,209,,,,,,,,
6-10,3,-1,-1,179,195,-1,-1,-1,-1,-1,-1,-1,-1,157,157,-1,-1,207,209,,,,,,,,
8-01,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
8-02,4,-1,-1,-1,-1,157,161,144,144,113,113,201,201,157,157,140,142,209,209,,,,,,,,
8-03,4,237,247,179,197,161,161,144,146,-1,-1,-1,-1,157,157,160,176,207,209,,,,,,,,
8-04,4,237,237,179,195,161,161,144,148,-1,-1,201,201,157,159,140,158,207,209,,,,,,,,
8-05,4,-1,-1,179,195,-1,-1,144,146,113,113,201,201,157,159,-1,-1,209,209,,,,,,,,
8-06,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,207,209,,,,,,,,
8-07,4,237,237,195,195,161,161,150,150,113,113,197,201,157,159,136,158,207,209,,,,,,,,
8-08,4,-1,-1,179,195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
8-09,4,-1,-1,195,197,161,161,144,146,113,113,197,201,157,159,158,166,207,209,,,,,,,,
9-01,5,237,247,179,179,-1,-1,144,144,113,113,197,197,157,157,140,140,209,211,,,,,,,,
9-02,5,237,237,179,195,-1,-1,-1,-1,113,113,-1,-1,157,159,170,176,207,209,,,,,,,,
9-03,5,-1,-1,-1,-1,161,161,144,144,113,113,201,201,157,159,176,176,207,209,,,,,,,,
9-04,5,-1,-1,179,195,161,166,144,148,113,113,-1,-1,157,157,140,158,-1,-1,,,,,,,,
9-05,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
9-06,5,237,237,179,197,161,161,144,148,113,113,197,197,159,159,140,164,207,207,,,,,,,,
9-07,5,237,237,179,197,161,161,148,148,113,113,197,201,157,159,136,176,207,207,,,,,,,,
9-08,5,237,237,195,197,161,166,144,144,113,113,197,197,157,159,140,168,209,209,,,,,,,,
9-09,5,237,247,-1,-1,-1,-1,144,148,113,113,201,201,157,159,164,164,209,209,,,,,,,,
9-10,5,-1,-1,179,195,-1,-1,-1,-1,113,113,-1,-1,-1,-1,-1,-1,207,209,,,,,,,,
10-01,6,237,237,179,195,161,166,144,148,113,113,197,201,159,159,140,164,207,207,,,,,,,,
10-02,6,237,237,179,195,161,161,144,144,113,113,201,201,159,159,158,176,207,207,,,,,,,,
10-03,6,-1,-1,179,195,-1,-1,144,146,113,113,-1,-1,157,157,-1,-1,-1,-1,,,,,,,,
10-04,6,237,237,179,179,161,161,144,144,113,113,197,201,157,159,140,158,207,209,,,,,,,,
10-05,6,237,247,179,197,161,161,144,144,113,113,197,197,157,157,140,140,209,209,,,,,,,,
10-06,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,136,140,-1,-1,,,,,,,,
10-07,6,237,237,195,195,161,166,144,144,113,113,197,201,157,159,164,164,207,207,,,,,,,,
10-08,6,237,237,179,179,161,166,-1,-1,113,113,197,197,157,159,140,158,207,207,,,,,,,,
10-09,6,237,237,179,195,161,161,146,148,113,113,197,201,157,161,142,176,207,207,,,,,,,,
10-10,6,237,237,179,195,161,161,144,148,113,113,201,201,157,157,176,176,203,209,,,,,,,,
13-01,7,-1,-1,179,195,-1,-1,-1,-1,-1,-1,197,201,-1,-1,140,176,207,207,,,,,,,,
13-02,7,237,237,179,195,161,161,144,148,-1,-1,201,201,-1,-1,158,158,207,207,,,,,,,,
13-03,7,237,237,179,195,161,161,144,144,113,113,-1,-1,157,159,158,176,207,207,,,,,,,,
13-04,7,-1,-1,179,195,161,161,144,144,113,113,-1,-1,159,159,-1,-1,-1,-1,,,,,,,,
13-05,7,237,237,179,195,161,161,144,144,113,113,201,201,157,159,158,176,207,209,,,,,,,,
13-06,7,-1,-1,179,195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
13-07,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,157,-1,-1,-1,-1,,,,,,,,
13-08,7,-1,-1,179,179,-1,-1,144,144,-1,-1,-1,-1,157,159,140,142,207,209,,,,,,,,
13-09,7,-1,-1,-1,-1,161,166,144,144,113,113,201,201,157,159,140,176,207,209,,,,,,,,
13-10,7,-1,-1,179,179,161,161,-1,-1,113,113,197,201,157,159,-1,-1,209,209,,,,,,,,
15-01,8,-1,-1,179,195,-1,-1,144,144,113,113,201,201,157,159,158,158,207,209,,,,,,,,
15-02,8,-1,-1,-1,-1,-1,-1,144,148,-1,-1,201,201,157,159,158,176,207,207,,,,,,,,
15-03,8,-1,-1,179,195,-1,-1,144,144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
15-04,8,-1,-1,179,195,-1,-1,144,146,113,113,201,201,157,157,140,158,207,209,,,,,,,,
15-05,8,237,237,195,197,166,166,144,144,113,113,197,201,157,157,142,176,207,209,,,,,,,,
15-06,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,157,-1,-1,-1,-1,,,,,,,,
15-07,8,-1,-1,-1,-1,-1,-1,-1,-1,113,113,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
15-08,8,237,237,179,195,161,161,144,146,113,113,197,201,157,159,158,158,207,209,,,,,,,,
15-09,8,237,237,195,195,161,161,148,148,113,113,197,197,157,159,158,158,207,209,,,,,,,,
15-10,8,-1,-1,197,197,161,166,144,146,113,113,197,201,157,159,-1,-1,209,209,,,,,,,,
20-01,9,237,237,195,195,-1,-1,148,150,113,113,201,201,157,159,170,176,207,207,,,,,,,,
20-02,9,237,237,195,197,161,161,-1,-1,-1,-1,197,201,157,159,-1,-1,209,209,,,,,,,,
20-03,9,237,237,179,195,161,161,144,146,113,113,197,201,157,159,140,158,207,209,,,,,,,,
20-04,9,237,243,-1,-1,-1,-1,144,148,113,113,-1,-1,157,159,140,154,207,209,,,,,,,,
20-05,9,-1,-1,-1,-1,161,161,144,146,113,113,-1,-1,157,157,-1,-1,207,209,,,,,,,,
20-06,9,237,237,195,195,161,161,144,148,113,113,-1,-1,159,159,-1,-1,207,209,,,,,,,,
20-07,9,237,247,195,195,161,161,146,150,113,113,197,201,157,159,136,140,207,207,,,,,,,,
20-08,9,237,237,179,195,161,161,144,148,113,113,197,201,159,159,140,168,207,209,,,,,,,,
20-09,9,-1,-1,-1,-1,-1,-1,144,146,113,113,-1,-1,157,159,158,162,207,209,,,,,,,,
20-10,9,-1,-1,195,195,-1,-1,146,150,113,113,197,201,157,157,140,158,207,209,,,,,,,,
21-01,10,237,237,195,195,161,161,148,148,113,113,201,201,157,159,136,140,207,207,,,,,,,,
21-02,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,159,-1,-1,-1,-1,,,,,,,,
21-03,10,237,237,195,195,161,161,146,148,113,113,197,197,157,157,158,158,209,209,,,,,,,,
21-04,10,237,247,-1,-1,-1,-1,144,148,113,113,-1,-1,157,159,-1,-1,207,209,,,,,,,,
21-05,10,237,237,195,197,161,161,-1,-1,113,113,-1,-1,157,159,136,158,209,209,,,,,,,,
21-06,10,237,247,-1,-1,161,161,148,148,113,113,-1,-1,157,157,136,160,207,209,,,,,,,,
21-07,10,-1,-1,-1,-1,161,161,146,150,113,113,197,201,157,159,-1,-1,207,207,,,,,,,,
21-08,10,-1,-1,179,195,161,161,144,148,-1,-1,201,201,157,159,158,160,207,209,,,,,,,,
21-09,10,237,237,179,195,161,161,146,150,113,113,197,201,157,157,158,174,209,209,,,,,,,,
21-10,10,237,237,195,195,161,161,144,148,113,119,-1,-1,157,157,136,158,207,209,,,,,,,,
28-02,11,-1,-1,-1,-1,-1,-1,-1,-1,113,113,-1,-1,-1,-1,-1,-1,207,209,,,,,,,,
28-03,11,237,237,179,179,-1,-1,144,146,113,113,-1,-1,157,159,-1,-1,209,209,,,,,,,,
28-04,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
28-05,11,-1,-1,-1,-1,-1,-1,144,146,113,113,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
28-06,11,-1,-1,-1,-1,-1,-1,-1,-1,113,113,-1,-1,157,159,-1,-1,205,207,,,,,,,,
28-07,11,-1,-1,197,197,161,161,144,148,113,113,197,197,157,157,158,158,207,207,,,,,,,,
28-08,11,-1,-1,179,179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,207,209,,,,,,,,
31-01,12,237,237,195,197,161,161,-1,-1,113,113,197,201,157,157,140,158,207,209,,,,,,,,
31-02,12,-1,-1,179,179,161,161,-1,-1,113,113,197,201,157,157,168,176,207,209,,,,,,,,
31-03,12,237,237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,157,140,140,207,207,,,,,,,,
31-05,12,237,237,179,179,161,161,144,150,113,113,197,201,157,159,140,162,207,207,,,,,,,,
31-06,12,237,247,179,179,161,161,148,148,-1,-1,197,201,157,157,168,176,207,209,,,,,,,,
31-07,12,237,237,179,197,161,161,144,144,113,113,-1,-1,157,157,176,176,207,207,,,,,,,,
31-08,12,237,237,195,195,161,161,148,148,113,113,197,201,157,157,140,172,209,209,,,,,,,,
31-10,12,-1,-1,-1,-1,161,161,144,144,113,113,197,201,157,157,140,158,207,207,,,,,,,,
32-01,13,237,237,195,195,161,166,144,148,113,113,197,201,157,157,-1,-1,207,209,,,,,,,,
32-02,13,237,237,195,197,161,166,144,146,113,113,-1,-1,157,159,142,176,207,209,,,,,,,,
32-03,13,237,237,179,197,-1,-1,144,144,-1,-1,-1,-1,157,159,140,158,209,209,,,,,,,,
32-04,13,237,237,195,195,161,166,144,144,113,113,201,201,157,157,164,176,207,209,,,,,,,,
32-05,13,-1,-1,179,195,161,166,144,146,-1,-1,-1,-1,-1,-1,140,160,209,209,,,,,,,,
32-06,13,-1,-1,179,195,161,166,144,144,-1,-1,201,201,159,159,164,176,-1,-1,,,,,,,,
32-09,13,237,237,179,195,161,166,144,144,113,113,201,201,157,157,142,158,207,209,,,,,,,,
32-10,13,237,237,179,195,161,161,144,144,113,113,201,201,157,159,140,140,207,207,,,,,,,,
38-01,14,-1,-1,179,197,161,161,144,146,113,113,201,201,159,159,140,160,207,209,,,,,,,,
38-02,14,237,237,179,179,161,161,144,144,113,113,-1,-1,157,159,140,174,209,209,,,,,,,,
38-03,14,237,237,179,195,161,166,144,146,113,113,-1,-1,-1,-1,-1,-1,203,207,,,,,,,,
38-04,14,237,247,179,179,161,161,144,146,-1,-1,197,201,157,159,140,158,205,207,,,,,,,,
38-05,14,237,237,179,195,161,161,144,146,113,113,201,201,157,157,140,158,207,209,,,,,,,,
38-06,14,237,247,179,195,161,166,144,148,113,113,197,201,157,157,-1,-1,207,207,,,,,,,,
38-07,14,237,237,179,179,161,161,144,150,113,113,197,201,157,159,158,174,207,207,,,,,,,,
38-08,14,237,237,179,179,161,166,144,146,113,113,201,201,157,157,170,174,207,207,,,,,,,,
38-09,14,237,237,179,195,161,166,-1,-1,113,113,197,197,157,157,138,160,209,209,,,,,,,,
38-10,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
39-01,15,-1,-1,179,195,-1,-1,144,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
39-02,15,-1,-1,-1,-1,161,166,144,148,113,113,197,201,157,157,142,158,207,209,,,,,,,,
39-03,15,-1,-1,-1,-1,-1,-1,144,146,-1,-1,-1,-1,157,157,-1,-1,-1,-1,,,,,,,,
39-05,15,237,237,179,195,161,161,144,148,113,113,197,201,157,157,140,140,207,207,,,,,,,,
39-09,15,-1,-1,-1,-1,-1,-1,-1,-1,113,119,-1,-1,157,157,-1,-1,207,209,,,,,,,,
39-10,15,237,237,179,195,-1,-1,144,148,113,113,-1,-1,157,157,158,164,209,211,,,,,,,,
41-01,16,237,237,-1,-1,161,161,144,146,113,113,197,201,157,157,158,160,207,209,,,,,,,,
41-02,16,237,237,197,197,161,161,146,148,113,113,197,197,157,157,158,170,207,209,,,,,,,,
41-03,16,237,247,195,197,161,161,146,148,113,113,197,197,157,157,158,164,207,209,,,,,,,,
41-04,16,237,237,179,197,161,161,144,148,113,113,201,201,157,157,140,158,207,209,,,,,,,,
41-05,16,237,237,179,197,161,161,148,148,113,113,197,201,157,157,-1,-1,209,209,,,,,,,,
41-07,16,237,237,195,195,-1,-1,144,146,113,113,-1,-1,157,159,138,154,207,209,,,,,,,,
41-08,16,237,237,179,197,161,161,144,148,113,113,201,201,157,159,140,158,209,209,,,,,,,,
41-09,16,237,237,179,197,161,166,148,148,113,113,197,201,157,157,158,164,209,209,,,,,,,,
41-10,16,-1,-1,-1,-1,-1,-1,-1,-1,113,119,-1,-1,-1,-1,-1,-1,207,207,,,,,,,,
42-01,17,237,237,179,197,161,161,144,144,113,113,197,201,159,159,140,176,207,207,,,,,,,,
42-02,17,-1,-1,-1,-1,-1,-1,144,144,-1,-1,197,197,157,159,140,140,-1,-1,,,,,,,,
42-03,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,159,-1,-1,-1,-1,,,,,,,,
42-04,17,-1,-1,179,179,-1,-1,-1,-1,-1,-1,-1,-1,157,159,140,158,-1,-1,,,,,,,,
42-05,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,
42-06,17,237,237,195,195,-1,-1,144,146,-1,-1,197,201,157,159,158,176,-1,-1,,,,,,,,
42-07,17,237,237,179,195,161,161,144,144,-1,-1,197,201,159,159,158,158,207,209,,,,,,,,
42-08,17,237,237,179,195,161,166,144,150,113,113,201,201,157,159,140,158,207,207,,,,,,,,
42-09,17,237,237,179,195,161,161,144,144,113,113,-1,-1,157,159,140,160,-1,-1,,,,,,,,
52-01,18,237,247,179,195,161,161,144,148,113,113,197,201,157,157,158,160,207,209,,,,,,,,
52-02,18,237,237,195,197,161,161,144,144,113,113,201,201,157,157,158,164,209,211,,,,,,,,
52-03,18,237,237,179,195,161,161,146,148,113,113,201,201,157,157,170,176,207,207,,,,,,,,
52-04,18,247,247,179,195,161,161,148,148,113,113,201,201,157,157,158,164,209,209,,,,,,,,
52-05,18,237,247,195,195,161,161,144,148,113,113,-1,-1,157,157,140,164,207,209,,,,,,,,
52-06,18,-1,-1,179,195,161,161,148,148,113,113,201,201,159,159,164,164,209,209,,,,,,,,
52-07,18,237,247,179,195,161,166,-1,-1,-1,-1,197,201,157,159,158,164,209,209,,,,,,,,
52-08,18,237,247,179,197,161,161,144,144,113,113,197,197,157,157,158,158,207,209,,,,,,,,
52-09,18,237,247,195,195,161,161,-1,-1,-1,-1,197,201,157,159,164,168,209,209,,,,,,,,
77-01,19,237,237,179,195,161,161,146,146,113,113,201,201,157,157,140,140,207,209,,,,,,,,
77-02,19,237,247,195,197,161,161,144,144,113,113,-1,-1,157,157,140,158,207,209,,,,,,,,
77-03,19,-1,-1,195,197,-1,-1,144,144,113,113,-1,-1,157,159,158,158,207,207,,,,,,,,
77-04,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,157,-1,-1,-1,-1,,,,,,,,
77-05,19,237,237,179,195,161,166,144,146,-1,-1,-1,-1,157,157,158,164,209,209,,,,,,,,
77-06,19,-1,-1,-1,-1,166,166,144,144,-1,-1,-1,-1,157,157,158,168,209,209,,,,,,,,
77-07,19,237,237,179,195,161,161,144,148,-1,-1,-1,-1,157,159,158,168,207,209,,,,,,,,
77-09,19,237,237,179,195,161,161,146,146,113,113,-1,-1,157,159,140,174,209,209,,,,,,,,
77-10,19,-1,-1,179,195,161,166,-1,-1,-1,-1,-1,-1,157,159,164,164,209,209,,,,,,,,
420-01,20,-1,-1,179,179,-1,-1,144,144,-1,-1,-1,-1,157,159,158,164,207,209,,,,,,,,
420-02,20,-1,-1,179,195,161,161,144,146,-1,-1,-1,-1,157,157,-1,-1,207,209,,,,,,,,
420-03,20,237,237,195,195,161,166,144,148,-1,-1,-1,-1,157,157,140,164,207,207,,,,,,,,
420-04,20,-1,-1,179,195,-1,-1,144,144,113,113,-1,-1,157,159,140,140,207,209,,,,,,,,
420-05,20,237,237,195,197,161,166,144,146,-1,-1,-1,-1,157,159,158,164,209,209,,,,,,,,
420-06,20,237,247,195,195,161,161,144,148,113,113,-1,-1,157,159,140,164,207,209,,,,,,,,
420-07,20,-1,-1,-1,-1,161,161,144,146,-1,-1,-1,-1,157,157,-1,-1,207,209,,,,,,,,
420-08,20,237,237,195,195,161,161,144,144,113,113,-1,-1,157,159,140,140,207,209,,,,,,,,
420-09,20,237,237,179,195,161,161,144,148,113,113,197,197,157,157,140,158,209,209,,,,,,,,
420-10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,157,-1,-1,-1,-1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,